id,y
1,81.8586425781
2,100.965492249
3,79.8324813843
4,79.0130844116
5,118.595932007
8,96.8628997803
10,113.169372559
11,97.1381835938
12,115.559669495
14,97.2292480469
15,115.563308716
16,105.303329468
17,98.4580917358
19,97.3340759277
20,104.879165649
21,99.3308563232
22,116.059783936
23,98.4773788452
26,97.6584014893
28,94.8114089966
29,95.078338623
33,95.078338623
35,94.7887268066
41,95.189666748
42,94.6757049561
43,116.683502197
45,103.689056396
46,103.793205261
51,94.2757339478
53,79.4678039551
55,112.181648254
56,94.2863922119
57,104.102508545
58,95.0076293945
59,103.470794678
63,112.580337524
64,94.5412750244
65,104.742408752
69,95.0847549438
71,94.9582214355
72,103.870613098
73,94.8646697998
76,103.859176636
77,104.098937988
78,115.612564087
82,94.8672027588
83,104.742408752
84,94.2754058838
85,104.112991333
87,112.232032776
88,95.052696228
89,113.143356323
91,94.8257751465
93,94.878036499
94,104.027069092
95,94.6284408569
96,111.564865112
97,94.6441421509
98,112.330963135
99,94.8207931519
101,104.155982971
103,113.143356323
104,94.0685424805
105,111.677276611
110,94.9636383057
111,112.244895935
113,112.518508911
114,94.202041626
115,115.855819702
117,113.110519409
120,94.6541519165
121,112.153656006
122,94.6291503906
123,112.380477905
126,112.260276794
132,111.747924805
135,104.619338989
137,104.548370361
138,94.2878646851
140,94.2882843018
142,113.154052734
144,112.192024231
148,94.4589309692
149,113.478355408
155,94.2533416748
156,112.292129517
157,94.6441421509
162,112.42779541
163,94.8614730835
167,94.5759124756
172,116.496360779
179,112.515525818
180,95.0368804932
181,112.296401978
182,94.6087799072
183,113.110519409
185,113.110519409
187,111.667160034
188,94.8672027588
189,94.2757339478
191,94.0685424805
192,112.320465088
193,94.5996780396
194,112.451461792
195,94.0354156494
196,112.780632019
198,95.0638122559
199,112.229293823
201,104.694465637
204,94.7592010498
205,105.205108643
206,94.2771530151
210,94.2676239014
211,104.155982971
216,112.41178894
219,115.145904541
220,93.86743927
221,111.649513245
226,112.296401978
227,94.6380615234
228,112.216667175
230,112.677597046
231,94.6441421509
235,115.639671326
236,94.2716674805
238,113.148414612
242,104.218040466
243,94.8167953491
244,80.0856933594
245,111.590263367
247,117.595298767
248,94.6179656982
249,94.6783218384
250,112.151222229
251,94.2716674805
253,115.639671326
254,94.4811172485
256,94.6101379395
257,94.4589309692
258,112.211914062
259,94.818901062
262,81.3580932617
266,94.2928848267
267,112.010009766
272,104.070991516
273,113.110519409
275,96.8034667969
276,113.173706055
279,94.9474411011
280,104.742408752
283,94.6358337402
285,112.140899658
288,113.110519409
289,94.3350524902
290,104.220298767
291,94.8430709839
292,111.650268555
293,111.6197052
296,99.2068252563
297,112.281822205
298,115.579719543
299,94.8672027588
304,93.8870162964
305,90.3820877075
306,94.215133667
307,111.568771362
311,106.331169128
313,112.324066162
314,94.0685424805
316,94.4924468994
324,94.4882125854
327,94.720993042
329,93.9434509277
330,112.426452637
337,104.44468689
338,94.2968521118
339,104.648284912
340,94.5857620239
343,94.7891693115
345,115.143188477
346,94.5693130493
347,114.47454834
349,112.464790344
350,94.1496963501
352,112.267150879
353,94.0754165649
354,79.228729248
357,94.2935409546
358,112.486427307
362,113.697753906
364,115.256782532
365,103.841583252
366,94.747718811
367,112.413108826
368,94.2878646851
370,79.3504638672
373,95.0027008057
377,94.0685424805
378,112.343940735
382,103.817169189
384,112.216667175
390,94.5966873169
392,111.85118103
