id,y
1,78.4472503662
2,94.7268829346
3,78.2574768066
4,78.431930542
5,112.825622559
8,94.6204910278
10,113.098564148
11,94.7054672241
12,116.519309998
14,94.8667068481
15,116.513969421
16,104.192062378
17,94.3171615601
19,94.5481262207
20,103.771980286
21,94.3157119751
22,116.512878418
23,94.2997360229
26,94.9339370728
28,94.4169692993
29,94.2997360229
33,94.2997360229
35,94.4682388306
41,94.3226394653
42,94.0233001709
43,116.471412659
45,103.801719666
46,103.620079041
51,94.3504943848
53,78.4981231689
55,113.026435852
56,94.5769577026
57,104.467247009
58,94.9184341431
59,103.678970337
63,112.688682556
64,95.1318740845
65,103.93674469
69,94.9439086914
71,95.0766830444
72,104.072174072
73,94.423500061
76,103.665771484
77,103.758026123
78,116.480445862
82,94.4595718384
83,103.93674469
84,94.1391830444
85,103.55758667
87,113.548088074
88,94.3226394653
89,113.295463562
91,94.1581954956
93,94.8160858154
94,104.898475647
95,94.6867980957
96,113.518531799
97,94.4143981934
98,113.329719543
99,94.2193908691
101,103.917861938
103,113.295463562
104,93.9655838013
105,112.397453308
110,94.9452514648
111,113.888305664
113,114.183525085
114,94.1291046143
115,114.366653442
117,113.295463562
120,93.6005630493
121,113.001586914
122,94.8017120361
123,113.975990295
126,113.745674133
132,113.43157196
135,104.461936951
137,103.867721558
138,94.8461761475
140,94.5980300903
142,114.87210083
144,113.612670898
148,94.4678344727
149,113.798568726
155,94.9760742188
156,114.240890503
157,94.4143981934
162,113.020713806
163,94.1447982788
167,94.6131668091
172,116.471412659
179,113.89402771
180,94.7764663696
181,112.536956787
182,94.8078765869
183,113.295463562
185,113.295463562
187,113.176422119
188,94.4528045654
189,94.3010177612
191,94.0849990845
192,113.437347412
193,95.1284332275
194,112.569976807
195,94.0906295776
196,112.982261658
198,95.10987854
199,113.773529053
201,103.742897034
204,94.8983230591
205,104.149513245
206,95.0029602051
210,94.0537796021
211,103.917861938
216,113.770812988
219,116.521583557
220,94.2624130249
221,112.529937744
226,112.536956787
227,93.9180603027
228,113.619361877
230,113.281150818
231,94.4143981934
235,116.517272949
236,94.4390106201
238,113.420288086
242,104.714942932
243,94.1764602661
244,78.3338699341
245,113.06072998
247,112.680915833
248,94.5485229492
249,94.9233322144
250,113.053024292
251,94.4390106201
253,116.517272949
254,94.3394851685
256,94.5179214478
257,94.5594863892
258,113.844917297
259,94.1352157593
262,78.4353713989
266,94.5517959595
267,112.794410706
272,103.563621521
273,113.295463562
275,94.8730163574
276,113.941917419
279,94.5376586914
280,103.93674469
283,94.1652069092
285,113.631698608
288,113.295463562
289,95.0292282104
290,103.737693787
291,94.1322250366
292,113.013694763
293,113.334480286
296,95.0803756714
297,113.070281982
298,116.488006592
299,94.4355316162
304,93.9273452759
305,78.4654388428
306,94.8871841431
307,112.543312073
311,104.086776733
313,112.535102844
314,94.1883621216
316,95.072807312
324,95.0874938965
327,95.0989227295
329,93.8910522461
330,112.58959198
337,103.759361267
338,94.9873046875
339,103.701011658
340,95.1415176392
343,94.5435562134
345,116.51423645
346,94.4828948975
347,112.748542786
349,113.297203064
350,93.7533798218
352,113.885688782
353,94.1945953369
354,78.4445343018
357,94.4559020996
358,114.441749573
362,113.148841858
364,113.274536133
365,104.057289124
366,95.0177688599
367,112.981452942
368,94.6326522827
370,78.4538955688
373,95.0226593018
377,94.3134155273
378,113.35244751
382,103.668182373
384,113.608787537
390,94.6439819336
392,113.009529114
393,113.352203369
395,94.4228210449
396,104.081367493
399,78.3022842407
406,112.535102844
408,112.535102844
409,94.0823135376
410,78.4494934082
412,113.167022705
413,94.5899200439
419,94.6511154175
420,114.269538879
421,94.6449813843
430,94.3437271118
434,94.2763214111
436,94.6465454102
437,94.5417251587
438,94.6839141846
439,113.268211365
440,94.7449188232
443,112.943664551
446,94.9082183838
448,94.8579025269
452,95.3514556885
453,104.50553894
457,103.719284058
458,94.6452102661
459,114.252449036
460,103.651245117
462,104.537742615
464,103.732940674
465,116.516914368
467,113.397720337
471,113.056671143
472,78.4508285522
473,94.6571426392
475,94.8659057617
480,94.7938613892
488,113.175132751
490,112.543312073
491,103.922058105
492,78.2632598877
493,94.424041748
497,94.2822494507
498,112.891014099
499,94.4284591675
500,103.646034241
501,94.6462783813
502,112.77571106
506,78.4421005249
510,112.798179626
511,93.6207962036
512,93.9682617188
516,94.951423645
518,94.133605957
519,112.797157288
521,94.8789901733
522,114.379241943
526,113.023109436
529,95.0175628662
532,112.827720642
533,94.7840652466
536,113.791053772
537,94.5337600708
539,94.4383010864
540,103.922027588
541,94.8475570679
543,94.2851028442
546,112.967475891
547,94.4222946167
548,78.4132537842
551,94.4681625366
552,103.682357788
556,103.740280151
557,94.9667816162
558,112.981452942
559,94.8221282959
560,104.234764099
562,104.148796082
566,94.5008392334
570,112.891014099
571,94.5417251587
572,103.944633484
573,94.4606170654
575,116.516914368
576,113.310325623
577,93.8604125977
579,94.2799606323
580,112.974754333
581,113.413986206
589,112.543312073
591,103.428779602
593,94.7444229126
594,103.687644958
595,94.6368713379
598,94.4588470459
602,112.744277954
604,113.92086792
606,113.415557861
608,95.0238342285
609,103.9193573
610,94.3740386963
616,112.747589111
617,94.6914749146
618,103.592735291
620,104.100227356
622,112.578094482
623,94.5607376099
624,113.990974426
626,112.849258423
628,112.735641479
629,94.6279144287
630,113.279838562
637,94.1101150513
638,103.8487854
643,94.9259338379
645,94.7938613892
646,113.129295349
648,95.0519790649
652,94.5529632568
653,94.5632400513
654,112.891014099
656,113.078125
657,95.2634887695
659,94.9014892578
660,104.522270203
663,93.9824905396
664,113.816291809
666,104.320594788
668,112.971069336
669,94.9732284546
671,94.8418273926
675,94.8324813843
677,94.5059814453
678,113.053016663
679,105.648132324
682,95.0993423462
685,104.224693298
687,94.9255828857
688,93.8254776001
693,113.039573669
696,95.1011276245
