id,y
1,88.6224975586
2,105.549957275
3,80.221824646
4,77.9618301392
5,136.006256104
8,99.941192627
10,115.811691284
11,104.714981079
12,115.945838928
14,104.722488403
15,115.945838928
16,109.808105469
17,105.702209473
19,105.588607788
20,108.183937073
21,105.957199097
22,123.245849609
23,105.289848328
26,105.914390564
28,93.9408111572
29,101.112228394
33,101.112228394
35,93.5604171753
41,101.151817322
42,94.081703186
43,122.401161194
45,102.339515686
46,102.425743103
51,93.7227172852
53,79.6125335693
55,112.493270874
56,93.6679611206
57,104.18183136
58,99.7152633667
59,102.339515686
63,112.579048157
64,94.5037994385
65,105.868743896
69,101.112228394
71,95.9015579224
72,104.235458374
73,94.1538162231
76,103.668586731
77,104.176002502
78,115.945838928
82,94.1538162231
83,105.868743896
84,93.6886901855
85,104.176002502
87,111.01726532
88,99.8146514893
89,115.788574219
91,94.0008544922
93,94.6200332642
94,104.18183136
95,94.0968704224
96,109.932418823
97,94.089302063
98,112.758735657
99,93.2472610474
101,104.166549683
103,115.788574219
104,93.3014602661
105,110.3020401
110,96.4628372192
111,112.455291748
113,112.988754272
114,93.6246948242
115,125.406661987
117,115.788574219
120,93.7975997925
121,112.441383362
122,94.5233078003
123,112.758735657
126,112.499229431
132,110.307853699
135,104.95488739
137,105.287567139
138,93.6888046265
140,93.8688812256
142,115.788574219
144,111.445930481
148,93.7917556763
149,115.493942261
155,95.7204055786
156,111.587989807
157,94.089302063
162,112.706848145
163,94.2041244507
167,94.6359024048
172,122.096046448
179,112.988754272
180,101.017059326
181,111.001991272
182,94.5096435547
183,115.788574219
185,115.788574219
187,110.647766113
188,94.1538162231
189,93.6940078735
191,93.3435516357
192,112.758735657
193,94.5096435547
194,112.349105835
195,93.2345809937
196,112.988754272
198,101.177360535
199,112.113967896
201,104.95488739
204,94.0994110107
205,110.43283844
206,94.1889724731
210,93.6709136963
211,104.166549683
216,112.37298584
219,115.945838928
220,93.2280578613
221,110.3020401
226,111.001991272
227,93.4808349609
228,110.988502502
230,111.212333679
231,94.089302063
235,116.046318054
236,93.740852356
238,115.436408997
242,104.185317993
243,93.7584991455
244,80.4539108276
245,110.389839172
247,132.331130981
248,93.8060379028
249,94.081703186
250,112.441383362
251,93.740852356
253,116.046318054
254,94.0910263062
256,94.0749740601
257,94.4488601685
258,112.441383362
259,93.7294998169
262,83.5734100342
266,93.3920059204
267,112.495849609
272,104.176002502
273,115.788574219
275,100.650238037
276,115.889213562
279,95.8505783081
280,105.868743896
283,93.4808349609
285,110.988502502
288,115.788574219
289,93.9624328613
290,104.185317993
291,94.2146148682
292,110.3020401
293,110.60382843
296,101.996665955
297,112.465652466
298,115.945838928
299,94.1538162231
304,93.2950286865
305,88.658454895
306,93.6758346558
307,110.062004089
311,108.960533142
313,112.332374573
314,93.2161407471
316,93.9426269531
324,94.8309631348
327,94.5223770142
329,92.9357147217
330,112.681213379
337,104.945655823
338,94.1164474487
